municipio_id,municipio,muni_area_km2,line_km_total,line_km_HV,line_km_MV,line_km_unknown,substation_count_distribution,substation_count_generation,substation_count_industrial,substation_count_minor_distribution,substation_count_switching,substation_count_transmission,substation_count_yes,plant_count,generator_count_diesel,generator_count_hydro,generator_count_oil,generator_count_solar,generator_count_wind,line_km_per_km2,HV_km_per_km2,grid_intensity_index
113,PR-113,301.8393343102945,193.9016193477031,93.27716829014183,99.81151943135983,0.8129316262014351,9.0,0.0,34.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.6424001026598141,0.30902920092664854,1.9976704881338483
115,PR-115,61.44874532092259,19.063193520510023,7.160295757247455,10.91510096921225,0.9877967940503163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3102291742646733,0.11652468605912213,-1.087081676201667
117,PR-117,38.51786855300127,10.685856313064148,0.0,0.0,10.685856313064148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.27742595098065254,0.0,-2.083988360488632
119,PR-119,160.85054670979147,16.83283789058847,12.66996579372592,0.0,4.1628720968625474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10464893178733474,0.07876855909346225,-2.4184627599796653
121,PR-121,94.36765485899092,34.87869256134134,10.008001307724074,24.870691253617263,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.3696043163672861,0.10605330102436637,-0.8543089214985791
123,PR-123,185.33055995815755,100.19653220777124,58.85687979243896,40.26423797850292,1.0754144368293574,6.0,1.0,8.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,439.0,0.0,0.5406368611328473,0.31757784472095263,6.373825965410228
125,PR-125,141.70027110972404,42.755114541136244,26.667964413253205,15.722682390781664,0.3644677371013769,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.30172923598734186,0.18819981221209633,-0.6222084858755311
127,PR-127,120.92120194594224,52.60698497188241,30.127151255089903,0.0,22.479833716792506,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,11956.0,0.0,0.4350517868272624,0.24914697150097986,0.5000659452263854
129,PR-129,138.0323091380114,5.637115653647525,0.05914845437855837,2.6087247921615164,2.969242407107451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04083910273507967,0.0004285116633049938,-3.304666240132878
131,PR-131,185.1241503808811,52.788280309955375,17.53176808615194,33.86227429132813,1.394237932475314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2851506959051364,0.09470276055329056,-1.37171627157854
133,PR-133,88.28587382394525,58.70460839648273,25.568538365288294,30.12550502808468,3.0105650031097535,3.0,1.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,446.0,44.0,0.6649377284699949,0.28961075263609715,1.9763878989103145
135,PR-135,71.5389095843093,31.35377186484218,30.26659967581275,1.0871721890294335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4382757865199421,0.4230788510991109,1.7515241525127312
137,PR-137,65.15718607134593,20.836594315843087,9.25890004743257,0.0,11.577694268410516,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.31978965901055634,0.14210098080807607,0.11230611818300212
139,PR-139,55.47209812123886,39.302471295399855,36.195466798176355,0.0,3.1070044972235027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7085088292406221,0.652498607841877,5.746344287042789
141,PR-141,298.89247916681575,89.76128510100166,43.150925441132685,46.41763741339845,0.19272224647053127,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.30031295986843726,0.14436939183421071,0.027668961896572364
143,PR-143,70.41017496439216,11.43985918033475,11.43985918033475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.1624745171577846,0.1624745171577846,-1.5251183018142451
145,PR-145,119.68530830167278,21.694737157671028,18.855904545672853,0.0,2.838832611998174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.18126483079266809,0.15754569055498113,0.4738121339766712
147,PR-147,151.00181785427375,20.38345310898297,0.0,20.38345310898297,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.1349881305975686,0.0,-1.852367421735688
149,PR-149,96.0395768648043,51.733956598211925,23.230826942705605,22.402175041311875,6.10095461419445,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5386733083074516,0.24188806012137923,1.952869637762961
151,PR-151,138.36643837923472,40.65305363278003,25.16875777051281,15.440169646752418,0.044126215514802655,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2938071840901053,0.18189929628404744,-0.7079132574282165
153,PR-153,177.64999174064977,51.8593460086102,14.607611367183688,36.351119273637956,0.9006153677885599,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,223.0,0.0,0.2919186513913233,0.08222691835814583,-0.456913405778883
